,dataset,challenge,balance_class,process_approach,imputation,patient_group,drug_group,train_test_rate,remove_low_DAS,random_state,model_id,MAE,MSE,RMSE,R2,Pearson_Correlation,Accuracy,F1-Score
181,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base ANN,,,,,,0.3225806451612903,0.3164983164983165
182,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base ANN,,,,,,0.4193548387096774,0.416005291005291
183,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base ANN,,,,,,0.3225806451612903,0.3131313131313131
184,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base ANN,,,,,,0.4,0.3824175824175824
185,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base ANN,,,,,,0.4,0.3775862068965517
186,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base ANN,,,,,,0.3666666666666666,0.3668261562998405
187,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base ANN,,,,,,0.4,0.3747252747252747
188,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base ANN,,,,,,0.4,0.3863805276848755
189,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base ANN,,,,,,0.3333333333333333,0.299719887955182
190,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base ANN,,,,,,0.3548387096774194,0.3532051282051282
191,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base ANN,,,,,,0.1935483870967742,0.1142857142857142
192,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base ANN,,,,,,0.3548387096774194,0.3235714285714285
193,validation,classification,0,SC,IterativeImputer,['bionaive TNF'],all,0.8,True,2022,base ANN,,,,,,0.3870967741935484,0.3050108932461874
